descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-08,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-09,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-10,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-11,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-12,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-13,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-14,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-15,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-16,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-17,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-18,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-19,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-20,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-21,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-22,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-23,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-24,1.1906088459890165
